ocreval Accuracy Report Version 7.0
-----------------------------------
   30591   Characters
    9175   Errors
   70.01%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   70.01%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
     778     2544     5853     9175   Unmarked
     778     2544     5853     9175   Total

   Count   Missed   %Right
    1435      861    40.00   ASCII Spacing Characters
    4538      504    88.89   ASCII Special Symbols
     175      172     1.71   ASCII Digits
    6032      691    88.54   ASCII Uppercase Letters
   18411     1094    94.06   ASCII Lowercase Letters
   30591     3322    89.14   Total

  Errors   Marked   Correct-Generated
    3600        0   {}-{ }
     448        0   {<\n>}-{ }
     203        0   {A}-{Â}
     184        0   {}-{’}
     148        0   {<\n>}-{}
     128        0   {}-{ l}
     120        0   {}-{ il }
     108        0   {}-{ à }
      98        0   {}-{â}
      96        0   {}-{ i}
      83        0   {e}-{é}
      82        0   {}-{«}
      77        0   {.}-{ }
      77        0   {}-{Â}
      67        0   {w}-{W}
      64        0   {}-{é}
      58        0   {t}-{«}
      52        0   {}-{l }
      51        0   {C}-{«}
      48        0   {4}-{ a}
      48        0   {<\n>}-{ il }
      48        0   {}-{ l’}
      42        0   {l}-{t}
      38        0   {-<\n>}-{}
      38        0   {WEW,ok,(v.n.<\n>ilsecouv...}-{}
      36        0   {,}-{ }
      36        0   {d}-{ il }
      33        0   {(}-{«}
      30        0   {l}-{t }
      28        0   {a,<\n>ok,<\n>(a.a.)test...}-{Â}
      27        0   {<\n>}-{ à }
      26        0   {}-{.}
      24        0   {}-{. }
      22        0   {0}-{v}
      22        0   {a.)u<\n>f)cessation,<\n>...}-{}
      21        0   {}-{è}
      20        0   {0}-{ i}
      20        0   {1}-{ il }
      20        0   {<\n>tPOSITTASUWIN,a,(n.}-{ }
      20        0   {t}-{ il }
      20        0   {w}-{ il }
      20        0   {}-{ â}
      19        0   {(n..f.).cous<\n>n.)wv...}-{«}
      18        0   {O}-{C}
      18        0   {S}-{ s}
      18        0   {descordef<\n>ils:<\n>Pa...}-{}
      18        0   {}-{é }
      18        0   {}-{ê}
      16        0   {.}-{, }
      16        0   {0}-{ o}
      16        0   {:}-{.}
      16        0   {<\n>}-{ f.) cessation, }
      16        0   {c}-{ ç}
      16        0   {ledsire,<\n>soupire}-{ }
      16        0   {l}-{ t}
      16        0   {}-{ a}
      15        0   {<\n>}-{ a.) }
      15        0   {CA}-{« Â}
      15        0   {d}-{ il l}
      14        0   {<\n>}-{a. a.) il est }
      14        0   {dmrest<\n>f.)<\n>02<\n>}-{}
      14        0   {i}-{â}
